id,abbrevtype,accountbasednumber,actualshipdate,altsalestotal,amountunbilled,applypickdecomposition,approvalstatus,balsegstatus,billingaddress,billingstatus,closedate,completeddatetime,createdby,createddate,createddatetime,cseg_customendcusto,cseg_customrecharge,cseg_customregion,currency,custbody_10184_customer_entity_bank,custbody_11187_pref_entity_bank,custbody_11724_bank_fee,custbody_11724_pay_bank_fees,custbody_15529_emp_entity_bank,custbody_15529_vendor_entity_bank,custbody_15699_exclude_from_ep_process,custbody_15889_cust_refund_entity_bank,custbody_2663_reference_num,custbody_4110_customregnum,custbody_9997_autocash_assertion_field,custbody_9997_is_for_ep_dd,custbody_9997_is_for_ep_eft,custbody_9997_pfa_record,custbody_actualduedate,custbody_adjustment_journal,custbody_cash_register,custbody_clientapprovalstatus,custbody_clientnominalaccount,custbody_clientnominaldescription,custbody_collectionnote,custbody_collector,custbody_counterparty_vat,custbody_country_of_origin,custbody_createdby,custbody_customerrefundclientapprover,custbody_date_lsa,custbody_date_of_taxable_supply,custbody_datescanned,custbody_delivery_terms,custbody_eex_country,custbody_entitybankaccname,custbody_entitybankaccno,custbody_entitybanksortcode,custbody_entitybic,custbody_entityiban,custbody_fam_jrn_is_reversal,custbody_fam_jrn_reversal_date,custbody_fam_jrn_reversal_no,custbody_fam_lp_asset,custbody_fam_lp_assetdesc,custbody_fam_lp_assetprop,custbody_fam_lp_company,custbody_fam_lp_contract,custbody_fam_lp_contractnum,custbody_fam_lp_financelease,custbody_fam_lp_gainonmod,custbody_fam_lp_intexpense,custbody_fam_lp_leaseliability,custbody_fam_lp_rightofuse,custbody_fam_lp_startdate,custbody_fam_lp_totalinterest,custbody_fam_lp_totalleaseliab,custbody_fam_lp_totalleasepayment,custbody_fam_lp_totalnpv,custbody_fam_lp_totalprincipal,custbody_fam_specdeprjrn_shortage,custbody_fam_specdeprjrn_specialdepr,custbody_fhlapproavalstatus,custbody_glm_cs_permission,custbody_glm_csv_reference,custbody_glm_reference,custbody_includeinnextpaymentbatch,custbody_initiatorrole,custbody_itr_doc_number,custbody_itr_nexus,custbody_journaltype,custbody_link_lsa,custbody_link_name_lsa,custbody_matchignexception,custbody_mode_of_transport,custbody_nextapproverrole,custbody_nexus_notc,custbody_nondeductible_processed,custbody_nondeductible_ref_genjrnl,custbody_nondeductible_ref_tran,custbody_notc,custbody_pollenrsmref,custbody_quotereference,custbody_recordchanged,custbody_refno_originvoice,custbody_regime_code,custbody_regime_code_of_supply,custbody_rejectionreason,custbody_report_timestamp,custbody_salesordernumber,custbody_sas_journal_total,custbody_scannedby,custbody_sequencenumber,custbody_svb_aba_validations_passed,custbody_svb_allocation_journal,custbody_svb_bill_amount_based,custbody_svb_distribute_taxes,custbody_svb_error_logs,custbody_svb_run_aba_server_side,custbody_svb_sched_in_process,custbody_svb_schedule_is_intercompany,custbody_svb_vb_to_bell_dist_sched,custbody_svb_vend_bill_link,custbody_transaction_region,custbody_updateinitiator,custbody_voidingjournal,customform,customtype,daysopen,daysoverduesearch,discountdate,duedate,email,employee,enddate,entity,entitystatus,exchangerate,expectedclosedate,externalid,fax,firmed,fob,foreignamountpaid,foreignamountpaidnopost,foreignamountunpaid,foreignpaymentamountunused,foreignpaymentamountused,foreignpaymentamountusednopost,foreigntotal,fulfillmenttype,fxaltsalestotal,fxnetaltsalestotal,includeinforecast,incoterm,isfinchrg,isreversal,journaltype,lastmodifiedby,lastmodifieddate,linkedtrackingnumberlist,memdoc,memo,memorized,message,needsbill,netaltsalestotal,nextapprover,nextbilldate,nexus,number,ordpicked,ordreceived,otherrefnum,parentexpensealloc,partner,paymenthold,paymentmethod,paymentoption,posting,postingperiod,prevdate,printedpickingticket,probability,recordtype,releaseddatetime,reversal,reversaldate,reversaldefer,revision,shipcarrier,shipcomplete,shipdate,shipmethod,shippingaddress,source,sourcetransaction,startdate,status,terms,title,tobeemailed,tobefaxed,tobeprinted,tosubsidiary,trackingnumberlist,trandate,trandisplayname,tranid,transactionnumber,type,typebaseddocumentnumber,userevenuearrangement,visibletocustomer,void,voided,website,_fivetran_deleted,_fivetran_synced,openingbalancetransaction
92936,GENJRNL,null,null,null,null,null,null,5,null,F,null,null,1953,2025-09-16 15:40:53,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,1006,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,T,null,null,null,null,16/9/2025 8:39:44,null,2160297.24,null,null,null,null,null,null,null,null,null,null,null,null,null,2021,2,102,-1,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,F,T,JOURNAL,1953,2025-09-16 15:40:53,null,null,NR - UK GAAP Income Adjs - Debtors,F,null,F,null,null,null,1,1832,F,null,null,null,null,F,null,null,T,269,2025-07-01 00:00:00,F,null,journalentry,null,92935,2025-06-30 00:00:00,null,null,null,null,null,null,null,null,null,null,B,null,null,F,F,T,null,null,2025-07-01 00:00:00,Journal #1832,1832,JOURNAL4733,Journal,1832,F,T,F,F,null,TRUE,2025-09-26 18:12:35,null
92940,GENJRNL,null,null,null,null,null,null,5,null,F,null,null,1953,2025-09-16 15:42:45,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,1006,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,T,null,null,null,null,16/9/2025 8:42:14,null,7112862.34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,102,-1,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,F,T,JOURNAL,1953,2025-09-16 15:42:45,null,null,NR - UK GAAP Income adj,F,null,F,null,null,null,1,1836,F,null,null,null,null,F,null,null,T,269,2025-07-01 00:00:00,F,null,journalentry,null,92939,2025-06-30 00:00:00,null,null,null,null,null,null,null,null,null,null,B,null,null,F,F,T,null,null,2025-07-01 00:00:00,Journal #1836,1836,JOURNAL4737,Journal,1836,F,T,F,F,null,TRUE,2025-09-26 18:12:35,null
91771,GENJRNL,null,null,null,null,null,null,5,null,F,null,null,1953,2025-07-29 13:43:57,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,T,null,null,null,null,29/7/2025 6:42:39,null,36000,null,0,null,null,null,null,null,null,null,null,null,null,null,null,2,102,-1,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,F,T,JOURNAL,1953,2025-07-29 13:43:57,null,null,Accrued Income - insurance recharge for June 2025,F,null,F,null,null,null,1,1803,F,null,null,null,null,F,null,null,T,269,2025-07-01 00:00:00,F,null,journalentry,null,91770,2025-06-30 00:00:00,null,null,null,null,null,null,null,null,null,null,B,null,null,F,F,T,null,null,2025-07-01 00:00:00,Journal #1803,1803,JOURNAL4704,Journal,1803,F,T,F,F,null,TRUE,2025-09-26 18:12:34,null
91740,GENJRNL,null,null,null,null,null,null,5,null,F,null,null,2021,2025-07-17 12:33:27,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,T,null,null,null,null,17/7/2025 5:30:37,null,867985.62,null,null,null,null,null,null,null,null,null,null,null,null,null,1953,2,102,-1,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,F,T,JOURNAL,1953,2025-07-23 15:18:35,null,null,RO - Accrue loan Interest June 25,F,null,F,null,null,null,1,1773,F,null,null,null,null,F,null,null,T,269,2025-04-01 00:00:00,F,null,journalentry,null,91739,2025-06-30 00:00:00,null,null,null,null,null,null,null,null,null,null,B,null,null,F,F,F,null,null,2025-07-01 00:00:00,Journal #1773,1773,JOURNAL4674,Journal,1773,F,T,F,F,null,TRUE,2025-09-26 18:12:34,null
52457,BILL,null,null,null,null,null,2,5,null,F,2023-05-22 00:00:00,null,7,2023-06-30 11:14:17,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2023-05-01 00:00:00,null,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null,null,null,F,null,null,null,4335,null,F,null,null,null,null,30/06/2023 04:14:16,null,null,null,null,F,null,F,F,null,F,F,null,null,null,null,null,null,106,-1,21,21,null,2023-05-01 00:00:00,null,null,null,1792,null,1,null,I2022/02/002000,null,null,null,3000,0,0,null,null,null,-3000,null,null,null,F,null,F,F,null,7,2023-07-05 09:32:03,null,null,"[28/02/2023] Gerald Eve’s Professional Fees - November 2022 to January 2023 25-28 Old Burlington Street, London W1 - Researching the planning history - Providing initial planning issues note - Attending team meetings - Advising generally throughout.",F,null,F,null,null,null,1,0,F,null,null,null,null,F,null,null,T,192,2023-05-01 00:00:00,F,null,vendorbill,null,null,null,null,null,null,null,null,null,null,CSV,null,null,B,null,null,F,F,F,null,null,2023-05-01 00:00:00,Bill #I2022/02/002000,I2022/02/002000,VENDBILL5368,VendBill,null,F,T,F,F,null,FALSE,2025-09-30 13:02:13,null
23606,GENJRNL,null,null,null,null,null,null,5,null,F,null,null,814,2022-01-21 12:08:38,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,21/01/2022 04:08:37,null,17425.46,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,102,-1,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,F,F,JOURNAL,814,2022-01-21 12:08:38,null,null,null,F,null,F,null,null,null,1,0,F,null,null,null,null,F,null,null,T,115,2021-10-18 00:00:00,F,null,journalentry,null,null,null,null,null,null,null,null,null,null,CSV,null,null,B,null,null,F,F,T,null,null,2021-10-18 00:00:00,Journal #OCT2021GBP69,OCT2021GBP69,JOURNAL554,Journal,OCT2021GBP69,F,T,F,F,null,FALSE,2025-09-30 13:02:15,null
39611,GENJRNL,null,null,null,null,null,null,5,null,F,null,null,6,2022-09-20 12:11:24,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,20/09/2022 05:11:23,null,2502,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,102,-1,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,F,F,JOURNAL,6,2022-09-20 12:11:24,null,null,Kanda Communications LLP - Monthly retainer - 3961 - IK.5718,F,null,F,null,null,null,1,0,F,null,null,null,null,F,null,null,T,129,2022-08-22 00:00:00,F,null,journalentry,null,null,null,null,null,null,null,null,null,null,CSV,null,null,B,null,null,F,F,T,null,null,2022-08-22 00:00:00,Journal #AUGUST22CASHBOOK47,AUGUST22CASHBOOK47,JOURNAL2765,Journal,AUGUST22CASHBOOK47,F,T,F,F,null,FALSE,2025-09-30 13:02:15,null
38557,INV,null,null,null,null,null,null,5,null,F,2022-08-05 00:00:00,null,6,2022-09-13 11:04:12,null,null,null,null,1,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,13/09/2022 04:04:12,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,112,-1,23,23,null,2022-07-13 00:00:00,null,null,null,752,null,1,null,234959,null,null,null,45774.63,null,0,null,null,null,45774.63,null,null,null,F,null,F,F,null,6,2022-09-13 12:19:08,null,null,Licence Fee 01/07/22 to 31/07/22,F,null,F,null,null,null,1,234959,F,null,null,null,null,F,null,null,T,129,2022-07-13 00:00:00,F,null,invoice,null,null,null,null,null,null,F,2022-09-13 00:00:00,null,6505,CSV,null,null,B,2,null,F,F,F,null,null,2022-07-13 00:00:00,Invoice #234959,234959,CUSTINVC2352,CustInvc,234959,F,T,F,F,null,FALSE,2025-09-30 13:02:13,null
81868,BILLPMT,961,null,null,null,null,null,5,null,F,2024-10-07 00:00:00,null,7,2024-11-26 13:04:35,null,null,null,null,1,null,null,null,F,null,null,null,null,null,null,null,null,F,null,null,null,null,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113,-1,0,null,null,null,null,null,null,1824,null,1,null,null,null,null,null,null,null,null,0,1920,0,-1920,null,null,null,F,null,F,F,null,7,2024-11-26 13:04:36,null,null,Presentations and web copy prep - Sep/October.,F,null,F,null,null,null,1,961,F,null,null,null,null,F,null,null,T,256,2024-10-21 00:00:00,F,null,vendorpayment,null,null,null,null,null,null,null,null,null,null,null,null,null,Y,null,null,F,F,F,null,null,2024-10-21 00:00:00,Bill Payment #961,961,VENDPYMT7755,VendPymt,null,F,T,F,F,null,FALSE,2025-09-30 13:02:17,null
73864,BILL,null,null,null,null,null,2,5,null,F,2024-06-28 00:00:00,null,6,2024-07-09 08:49:30,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2022-12-07 00:00:00,null,F,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,null,F,null,null,null,null,09/07/2024 01:49:29,null,null,null,null,F,null,F,F,null,F,F,null,null,null,null,null,null,106,-1,599,569,null,2022-12-07 00:00:00,null,null,null,559,null,1,null,KI-5C499AD8-0016-A1,null,null,null,63.92,0,0,null,null,null,-63.92,null,null,null,F,null,F,F,null,6,2024-07-09 08:54:34,null,null,null,F,null,F,null,null,null,1,0,F,null,null,null,null,F,null,null,T,250,2022-11-07 00:00:00,F,null,vendorbill,null,null,null,null,null,null,null,null,null,null,CSV,null,null,B,2,null,F,F,F,null,null,2022-11-07 00:00:00,Bill #KI-5C499AD8-0016-A1,KI-5C499AD8-0016-A1,VENDBILL6302,VendBill,null,F,T,F,F,null,FALSE,2025-09-30 13:02:13,null
