transaction_id,date,period,account_name,account_type,subsidiary,department,debit,credit
TXN50000,2024-11-23,Nov 2024,Cash - Payroll,Bank,UK Operations,Engineering,37103.37,0.0
TXN50000,2024-11-23,Nov 2024,Product Sales,Income,UK Operations,Engineering,0.0,37103.37
TXN50001,2024-12-12,Dec 2024,Cash - Payroll,Bank,UK Operations,Operations,21153.9,0.0
TXN50001,2024-12-12,Dec 2024,Service Revenue,Income,UK Operations,Operations,0.0,21153.9
TXN50002,2024-09-15,Sep 2024,Professional Fees,Expense,US Headquarters,Operations,10022.0,0.0
TXN50002,2024-09-15,Sep 2024,Prepaid Expenses,OthCurrAsset,US Headquarters,Operations,0.0,10022.0
TXN50003,2024-04-22,Apr 2024,Prepaid Expenses,OthCurrAsset,Singapore Pte Ltd,Operations,13981.72,0.0
TXN50003,2024-04-22,Apr 2024,Prepaid Expenses,OthCurrAsset,Singapore Pte Ltd,Operations,0.0,13981.72
TXN50004,2024-03-22,Mar 2024,Prepaid Expenses,OthCurrAsset,Japan KK,Marketing,13965.78,0.0
TXN50004,2024-03-22,Mar 2024,Consulting Revenue,Income,Japan KK,Marketing,0.0,13965.78
TXN50005,2024-02-22,Feb 2024,Short-term Loans,OthCurrLiab,UK Operations,Finance,4926.15,0.0
TXN50005,2024-02-22,Feb 2024,Accounts Receivable,AcctRec,UK Operations,Finance,0.0,4926.15
TXN50006,2024-01-23,Jan 2024,Cash - Operating,Bank,Singapore Pte Ltd,Operations,6328.83,0.0
TXN50006,2024-01-23,Jan 2024,Inventory - Raw Materials,OthCurrAsset,Singapore Pte Ltd,Operations,0.0,6328.83
TXN50007,2024-05-30,May 2024,Inventory - Finished Goods,OthCurrAsset,Australia Pty Ltd,Operations,9695.2,0.0
TXN50007,2024-05-30,May 2024,Service Revenue,Income,Australia Pty Ltd,Operations,0.0,9695.2
TXN50008,2024-05-28,May 2024,Travel and Entertainment,Expense,UK Operations,Sales,43337.53,0.0
TXN50008,2024-05-28,May 2024,Payroll Liabilities,OthCurrLiab,UK Operations,Sales,0.0,43337.53
TXN50009,2024-07-05,Jul 2024,Interest Expense,OthExpense,Germany GmbH,Marketing,17828.01,0.0
TXN50009,2024-07-05,Jul 2024,Payroll Liabilities,OthCurrLiab,Germany GmbH,Marketing,0.0,17828.01
TXN50010,2024-02-06,Feb 2024,Allowance for Doubtful Accounts,AcctRec,Germany GmbH,Operations,36483.43,0.0
TXN50010,2024-02-06,Feb 2024,Consulting Revenue,Income,Germany GmbH,Operations,0.0,36483.43
