transaction_id,date,period,account_name,account_type,subsidiary,department,debit,credit
TXN50000,2024-01-21,Jan 2024,Cash - Payroll,Bank,US Headquarters,Engineering,37206.75,0.0
TXN50000,2024-01-21,Jan 2024,Interest Income,OthIncome,US Headquarters,Engineering,0.0,37206.75
TXN50001,2024-01-04,Jan 2024,Inventory - Finished Goods,OthCurrAsset,Australia Pty Ltd,,44662.89,0.0
TXN50001,2024-01-04,Jan 2024,Product Sales,Income,Australia Pty Ltd,,0.0,44662.89
TXN50002,2024-01-01,Jan 2024,Marketing and Advertising,Expense,US Headquarters,Sales,12016.71,0.0
TXN50002,2024-01-01,Jan 2024,Inventory - Finished Goods,OthCurrAsset,US Headquarters,Sales,0.0,12016.71
TXN50003,2024-01-23,Jan 2024,Prepaid Insurance,OthCurrAsset,Australia Pty Ltd,,27474.6,0.0
TXN50003,2024-01-23,Jan 2024,Service Revenue,Income,Australia Pty Ltd,,0.0,27474.6
TXN50004,2024-01-26,Jan 2024,Cash - Payroll,Bank,US Headquarters,Sales,35057.9,0.0
TXN50004,2024-01-26,Jan 2024,Product Sales,Income,US Headquarters,Sales,0.0,35057.9
TXN50005,2024-01-31,Jan 2024,Accounts Receivable,AcctRec,Germany GmbH,Engineering,5090.92,0.0
TXN50005,2024-01-31,Jan 2024,Interest Income,OthIncome,Germany GmbH,Engineering,0.0,5090.92
TXN50006,2024-01-09,Jan 2024,Inventory - Finished Goods,OthCurrAsset,US Headquarters,,23241.53,0.0
TXN50006,2024-01-09,Jan 2024,Product Sales,Income,US Headquarters,,0.0,23241.53
TXN50007,2024-01-18,Jan 2024,Sales Tax Payable,OthCurrLiab,Germany GmbH,,31116.73,0.0
TXN50007,2024-01-18,Jan 2024,Cash - Payroll,Bank,Germany GmbH,,0.0,31116.73
TXN50008,2024-01-23,Jan 2024,Cost of Goods Sold,COGS,US Headquarters,Engineering,33232.53,0.0
TXN50008,2024-01-23,Jan 2024,Inventory - Finished Goods,OthCurrAsset,US Headquarters,Engineering,0.0,33232.53
TXN50009,2024-01-28,Jan 2024,Rent Expense,Expense,US Headquarters,Finance,14259.69,0.0
TXN50009,2024-01-28,Jan 2024,Accounts Receivable,AcctRec,US Headquarters,Finance,0.0,14259.69
